ref,var,pval1T,pval2T,z
18,min_dist_eq,0.1377,0.2754,1.51
18,lat_mean,0.6287,0.7426,0.26
18,lat_median,0.277,0.554,-0.152
18,lat_range,0.0784,0.1568,-2.658
18,host_spp,0.0049,0.0098,-18.654
19,nbr_country,0.0037,0.0074,-11.691
19,max_dist_eq,0.0689,0.1378,-1.344
19,min_dist_eq,0.1273,0.2546,1.46
19,lat_mean,0.4861,0.9722,0.566
19,lat_median,0.5486,0.9028,0.174
19,lat_range,0.099,0.198,-2.544
19,host_spp,0.0084,0.0168,-17.507
20,nbr_country,0.0117,0.0234,-9.974
20,max_dist_eq,0.0726,0.1452,-1.021
20,min_dist_eq,0.1003,0.2006,1.992
20,lat_mean,0.4584,0.9168,1.453
20,lat_median,0.5638,0.8724,0.938
20,lat_range,0.0938,0.1876,-3.031
20,host_spp,0.0122,0.0244,-16.199
