genus,species,num_orders,num_fam,num_spp
Allomymar,taitae,0,0,0
Aphelinus,abdominalis,2,2,36
Aphelinus,acuminatus,0,0,0
Aphelinus,albipodus,1,1,17
Aphelinus,ancer,1,1,1
Aphelinus,annulipes,1,1,7
Aphelinus,argiope,1,1,3
Aphelinus,asychis,2,2,55
Aphelinus,atriplicis,1,1,2
Aphelinus,aureus,1,1,2
Aphelinus,automatus,1,1,3
Aphelinus,babaneuri,0,0,0
Aphelinus,basilicus,0,0,0
Aphelinus,campestris,0,0,0
Aphelinus,ceratovacunae,1,1,1
Aphelinus,certus,0,0,0
Aphelinus,chaonia,1,1,17
Aphelinus,circumscriptus,0,0,0
Aphelinus,confusus,1,1,3
Aphelinus,coracinus,0,0,0
Aphelinus,coreae,1,1,4
Aphelinus,curvifasciatus,0,0,0
Aphelinus,daqingensis,1,1,1
Aphelinus,daucicola,1,1,13
Aphelinus,demyaati,1,1,1
Aphelinus,desantisi,1,1,2
Aphelinus,dies,0,0,0
Aphelinus,elvestueni,0,0,0
Aphelinus,engaeus,1,1,2
Aphelinus,ficusae,0,0,0
Aphelinus,flaviventris,1,1,4
Aphelinus,flavus,2,3,10
Aphelinus,fulvus,1,1,2
Aphelinus,fusciscapus,0,0,0
Aphelinus,fuscus,1,1,1
Aphelinus,gillettei,1,1,1
Aphelinus,glycinis,1,1,2
Aphelinus,gossypii,2,4,22
Aphelinus,hongkongensis,0,0,0
Aphelinus,hordei,1,1,4
Aphelinus,howardii,1,1,2
Aphelinus,huberi,0,0,0
Aphelinus,humilis,1,1,6
Aphelinus,hyalopteraphidis,1,1,1
Aphelinus,japonicus,0,0,0
Aphelinus,jucundus,2,2,10
Aphelinus,kurdjumovi,1,1,2
Aphelinus,lankaensis,0,0,0
Aphelinus,lapisligni,1,1,4
Aphelinus,literatus,1,1,1
Aphelinus,longipennis,0,0,0
Aphelinus,lucidus,1,1,2
Aphelinus,lusitanicus,0,0,0
Aphelinus,maculatus,1,1,2
Aphelinus,maidis,1,1,3
Aphelinus,mali,2,5,35
Aphelinus,mariscusae,1,1,1
Aphelinus,marlatti,1,1,2
Aphelinus,megadontus,1,1,1
Aphelinus,meghalayanus,0,0,0
Aphelinus,meridionalis,1,1,4
Aphelinus,minutus,0,0,0
Aphelinus,nepalensis,0,0,0
Aphelinus,niger,0,0,0
Aphelinus,notatus,0,0,0
Aphelinus,nox,0,0,0
Aphelinus,odin,0,0,0
Aphelinus,paluscolus,0,0,0
Aphelinus,paoliellae,1,1,1
Aphelinus,paramali,1,1,3
Aphelinus,pax,0,0,0
Aphelinus,perpallidus,1,1,7
Aphelinus,polaszeki,1,1,1
Aphelinus,prociphili,1,1,1
Aphelinus,quercus,0,0,0
Aphelinus,rhamni,1,1,4
Aphelinus,rhopalosiphiphagus,1,1,1
Aphelinus,sanborniae,2,2,4
Aphelinus,semiflavus,3,4,43
Aphelinus,sharpae,0,0,0
Aphelinus,siphonophorae,2,2,8
Aphelinus,spiraecolae,1,1,3
Aphelinus,subauriceps,0,0,0
Aphelinus,subflavescens,1,1,16
Aphelinus,takecallis,1,1,1
Aphelinus,taurus,0,0,0
Aphelinus,tetrataenion,0,0,0
Aphelinus,thomsoni,1,1,3
Aphelinus,tiliaphidis,1,1,1
Aphelinus,uncinctiventris,0,0,0
Aphelinus,varipes,2,5,25
Aphelinus,wenshanus,1,1,1
Aphelinus,yasnoshae,0,0,0
Aphytis,aberrans,1,1,1
Aphytis,abnormis,1,2,10
Aphytis,acalcaratus,1,1,1
Aphytis,acrenulatus,1,1,2
Aphytis,africanus,2,2,10
Aphytis,alami,1,1,2
Aphytis,albus,1,1,1
Aphytis,alexandrina,1,1,1
Aphytis,aligarhensis,0,0,0
Aphytis,amazonensis,0,0,0
Aphytis,angeloni,0,0,0
Aphytis,anneckei,1,1,2
Aphytis,antennalis,0,0,0
Aphytis,aonidiae,1,3,31
Aphytis,azai,0,0,0
Aphytis,bangalorensis,1,1,1
Aphytis,bedfordi,0,0,0
Aphytis,capensis,1,1,1
Aphytis,caucasicus,1,1,1
Aphytis,cercinus,1,1,4
Aphytis,chilensis,1,2,31
Aphytis,chionaspis,1,1,2
Aphytis,chrysomphali,2,4,64
Aphytis,coheni,1,1,6
Aphytis,columbi,1,2,5
Aphytis,comperei,1,1,9
Aphytis,confusus,1,1,3
Aphytis,cornuaspis,1,1,1
Aphytis,cylindratus,1,2,5
Aphytis,debachi,1,1,3
Aphytis,desantisi,1,1,1
Aphytis,diaspidis,2,4,64
Aphytis,elongatus,0,0,0
Aphytis,equatorialis,1,1,1
Aphytis,erythraeus,1,1,2
Aphytis,faurei,0,0,0
Aphytis,fioriniae,1,1,1
Aphytis,fisheri,1,1,4
Aphytis,funicularis,1,1,7
Aphytis,gordoni,1,1,3
Aphytis,griseus,1,1,4
Aphytis,hispanicus,1,2,27
Aphytis,holoxanthus,2,2,13
Aphytis,huidongensis,1,1,1
Aphytis,ignotus,1,1,1
Aphytis,immaculatus,1,1,5
Aphytis,japonicus,1,1,2
Aphytis,keatsi,0,0,0
Aphytis,landii,1,1,1
Aphytis,lepidosaphes,2,3,10
Aphytis,liangi,0,0,0
Aphytis,libanicus,1,1,6
Aphytis,limonus,0,0,0
Aphytis,lindingaspis,1,1,2
Aphytis,lingnanensis,1,1,40
Aphytis,longicaudus,1,1,2
Aphytis,luteus,1,1,4
Aphytis,maculatipes,0,0,0
Aphytis,maculicornis,1,1,21
Aphytis,manii,1,1,1
Aphytis,margaretae,1,1,6
Aphytis,mashae,0,0,0
Aphytis,matruhi,1,1,1
Aphytis,mazalae,1,1,10
Aphytis,melinus,1,1,24
Aphytis,merceti,1,2,9
Aphytis,mimosae,1,2,2
Aphytis,minutissimus,1,1,1
Aphytis,miquihuana,1,1,1
Aphytis,moldavicus,1,1,4
Aphytis,mytilaspidis,1,3,88
Aphytis,neuter,1,1,1
Aphytis,newtoni,0,0,0
Aphytis,notialis,1,1,4
Aphytis,opuntiae,1,1,2
Aphytis,paramaculicornis,1,1,11
Aphytis,perissoptroides,0,0,0
Aphytis,philippinensis,1,1,7
Aphytis,phoenicis,1,1,1
Aphytis,pilosus,1,2,3
Aphytis,pinnaspidis,1,1,5
Aphytis,proclia,3,6,72
Aphytis,punctaticorpus,0,0,0
Aphytis,quadraspidioti,1,1,1
Aphytis,riyadhi,1,1,3
Aphytis,rolaspidis,1,1,1
Aphytis,roseni,1,1,1
Aphytis,ruskini,0,0,0
Aphytis,salvadorensis,0,0,0
Aphytis,sankarani,1,1,3
Aphytis,secundus,0,0,0
Aphytis,sensorius,1,1,1
Aphytis,setosus,1,1,1
Aphytis,simmondsiae,1,1,1
Aphytis,simplex,1,1,1
Aphytis,sinaii,1,1,1
Aphytis,stepanovi,1,1,1
Aphytis,taylori,1,1,1
Aphytis,testaceus,1,1,7
Aphytis,theae,1,1,2
Aphytis,tucumani,1,1,1
Aphytis,ulianovi,0,0,0
Aphytis,unaspidis,1,1,1
Aphytis,unicus,0,0,0
Aphytis,vandenboschi,1,1,12
Aphytis,vastus,0,0,0
Aphytis,wandoorensis,0,0,0
Aphytis,yanonensis,1,1,3
Aphytis,yasumatsui,1,2,5
Bardylis,australicus,1,1,5
Bardylis,australiensis,1,1,1
Bardylis,copernici,0,0,0
Bardylis,magnus,0,0,0
Bardylis,mea,0,0,0
Bardylis,metallicus,0,0,0
Bardylis,multiguttatus,0,0,0
Bardylis,shillingsworthi,0,0,0
Bardylis,silvensis,0,0,0
Botryoideclava,bharatiya,1,2,2
Botryoideclava,thailandica,0,0,0
Cales,berryi,1,1,1
Cales,bicolor,0,0,0
Cales,breviclava,0,0,0
Cales,brevisensillum,0,0,0
Cales,curvigladius,0,0,0
Cales,longiseta,0,0,0
Cales,multisensillum,0,0,0
Cales,noacki,2,4,22
Cales,noyesi,0,0,0
Cales,orchamoplati,1,1,1
Cales,parvigladius,0,0,0
Cales,rosei,1,1,1
Cales,spenceri,0,0,0
Centrodora,acridiphagus,1,1,1
Centrodora,amoena,2,2,2
Centrodora,australiensis,1,1,1
Centrodora,azizi,1,1,3
Centrodora,bahara,0,0,0
Centrodora,bifasciata,0,0,0
Centrodora,brevifuniculata,1,1,2
Centrodora,brevispinae,0,0,0
Centrodora,cercopiphagus,1,1,1
Centrodora,cicadae,1,1,5
Centrodora,citri,1,1,1
Centrodora,crocata,1,1,2
Centrodora,damoni,0,0,0
Centrodora,darwini,3,7,8
Centrodora,dorsati,1,1,1
Centrodora,flava,2,2,4
Centrodora,flemingiae,0,0,0
Centrodora,fuscipennis,0,0,0
Centrodora,gerundensis,0,0,0
Centrodora,ghorpadei,0,0,0
Centrodora,giraulti,0,0,0
Centrodora,grotiusi,0,0,0
Centrodora,haeckeli,0,0,0
Centrodora,hamira,0,0,0
Centrodora,hexatricha,0,0,0
Centrodora,homopterae,0,0,0
Centrodora,idioceri,1,2,5
Centrodora,inconspicua,0,0,0
Centrodora,insulana,0,0,0
Centrodora,italica,3,3,3
Centrodora,lakma,0,0,0
Centrodora,liebermanni,1,1,1
Centrodora,lineascapa,0,0,0
Centrodora,livens,1,1,1
Centrodora,locustarum,2,3,9
Centrodora,mala,0,0,0
Centrodora,mandiana,0,0,0
Centrodora,maxima,0,0,0
Centrodora,merceti,0,0,0
Centrodora,miltoni,0,0,0
Centrodora,mireyae,1,1,1
Centrodora,ochrura,0,0,0
Centrodora,oophaga,1,1,2
Centrodora,orchelimumis,1,1,2
Centrodora,orthopterae,0,0,0
Centrodora,ossira,0,0,0
Centrodora,pathania,0,0,0
Centrodora,penthimiae,1,1,2
Centrodora,perkinsi,2,2,5
Centrodora,salicis,1,1,1
Centrodora,scolypopae,1,1,1
Centrodora,speciosissima,3,4,8
Centrodora,terrigena,0,0,0
Centrodora,tetratricha,0,0,0
Centrodora,tibialis,0,0,0
Centrodora,tomaspidis,1,2,9
Centrodora,tropicalis,0,0,0
Centrodora,uttara,0,0,0
Centrodora,xiphidii,3,4,6
Centrodora,zacateis,0,0,0
Coccobius,abdominis,1,1,1
Coccobius,addisoni,0,0,0
Coccobius,albiscutellum,0,0,0
Coccobius,aligarhensis,1,1,1
Coccobius,amala,0,0,0
Coccobius,annulicornis,2,4,32
Coccobius,aspidiellae,1,1,1
Coccobius,assamensis,0,0,0
Coccobius,atrithorax,1,1,1
Coccobius,azumai,2,2,3
Coccobius,bifasciatus,0,0,0
Coccobius,bimaculatus,1,1,1
Coccobius,binotatus,1,1,1
Coccobius,borovkovi,1,1,1
Coccobius,brachypterus,0,0,0
Coccobius,capensis,0,0,0
Coccobius,ceroplastidis,1,1,1
Coccobius,chaoi,0,0,0
Coccobius,comperei,1,1,3
Coccobius,confusus,1,1,1
Coccobius,contigaspidis,1,1,1
Coccobius,cosibus,0,0,0
Coccobius,costulatus,1,1,1
Coccobius,curtifuniculatus,0,0,0
Coccobius,cussoniae,0,0,0
Coccobius,danzigae,1,1,1
Coccobius,debachi,2,2,3
Coccobius,decemguttatus,0,0,0
Coccobius,diaspidis,1,1,2
Coccobius,donatellae,1,1,1
Coccobius,ephedraspidis,1,1,3
Coccobius,euphorbiae,0,0,0
Coccobius,fijiensis,1,1,1
Coccobius,flaviceps,1,1,2
Coccobius,flaviclavus,0,0,0
Coccobius,flavicornis,1,1,2
Coccobius,flavidus,1,1,1
Coccobius,flaviflagellatus,1,1,1
Coccobius,flaviventris,1,1,2
Coccobius,fulvus,1,2,8
Coccobius,furviflagellatus,2,3,3
Coccobius,furvus,0,0,0
Coccobius,fusciventris,0,0,0
Coccobius,gracilis,1,1,1
Coccobius,graminis,0,0,0
Coccobius,granati,1,1,1
Coccobius,himalayanus,0,0,0
Coccobius,himpradianus,0,0,0
Coccobius,howardi,1,1,4
