genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Aphelinus,subauriceps,1,-31.8759834,147.2869493,-31.8759834,147.2869493
Aphelinus,subflavescens,18,-41.500083,-120.7372569,52.7954791,172.8344077
Aphelinus,takecallis,1,39.9059631,116.391248,39.9059631,116.391248
Aphelinus,taurus,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphelinus,tetrataenion,9,47.1817585,-3.2765752,59.9393657,40.6561633
Aphelinus,thomsoni,8,47.286747,-4.1140517,59.6749712,38.0353929
Aphelinus,tiliaphidis,1,48.0000047,127.999992,48.0000047,127.999992
Aphelinus,uncinctiventris,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphelinus,varipes,42,-35.4021015,-118.7559973,59.6749712,148.9464218
Aphelinus,wenshanus,1,25.0,102.0,25.0,102.0
Aphelinus,yasnoshae,1,41.6809707,44.0287382,41.6809707,44.0287382
Aphytis,aberrans,1,1.5333554,32.2166578,1.5333554,32.2166578
Aphytis,abnormis,7,38.8949549,-77.0366455,47.1817585,34.9249653
Aphytis,acalcaratus,1,23.1357694,113.1982688,23.1357694,113.1982688
Aphytis,acrenulatus,2,-20.275945,12.674297,42.6384261,57.5703566
Aphytis,africanus,8,-34.9964962,-118.7559973,36.7014631,35.0015196
Aphytis,alami,1,27.1303344,80.859666,27.1303344,80.859666
Aphytis,albus,1,37.5540282,126.7893535,37.5540282,126.7893535
Aphytis,alexandrina,1,26.2540493,29.2675469,26.2540493,29.2675469
Aphytis,aligarhensis,1,27.1303344,80.859666,27.1303344,80.859666
Aphytis,amazonensis,1,1.3545442,-51.9161976,1.3545442,-51.9161976
Aphytis,angeloni,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,anneckei,2,-28.8166235,24.991639,1.4419683,38.4313975
Aphytis,antennalis,1,22.2793278,114.1628131,22.2793278,114.1628131
Aphytis,aonidiae,25,-34.9964962,-118.7559973,52.7954791,139.2394179
Aphytis,azai,1,26.2540493,29.2675469,26.2540493,29.2675469
Aphytis,bangalorensis,1,14.5203896,75.7223521,14.5203896,75.7223521
Aphytis,bedfordi,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,capensis,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,caucasicus,1,44.6939006,40.1520421,44.6939006,40.1520421
Aphytis,cercinus,2,-28.8166235,17.0194784,-22.5037497,24.991639
Aphytis,chilensis,22,-41.500083,-118.7559973,51.0834196,172.8344077
Aphytis,chionaspis,3,-28.8166235,24.991639,24.0,109.0
Aphytis,chrysomphali,76,-36.5986095,-157.9752029,51.0834196,179.0122737
Aphytis,coheni,6,-28.8166235,-118.7559973,39.000041,35.0015196
Aphytis,columbi,3,-36.5986095,144.4588889,-21.9182855,147.2869493
Aphytis,comperei,7,-28.8166235,-99.5120985,31.8160381,114.1628131
Aphytis,confusus,2,-28.8166235,24.991639,23.1357694,113.1982688
Aphytis,cornuaspis,1,26.5450001,117.842778,26.5450001,117.842778
Aphytis,cylindratus,7,-22.2752761,-118.7559973,36.7014631,139.2394179
Aphytis,debachi,5,22.2793278,-118.7559973,36.7014631,139.2394179
Aphytis,desantisi,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Aphytis,diaspidis,58,-41.500083,-157.9752029,54.7023545,172.8344077
Aphytis,elongatus,1,26.5450001,117.842778,26.5450001,117.842778
Aphytis,equatorialis,2,-28.8166235,-5.5679457,7.9897371,24.991639
Aphytis,erythraeus,3,-28.8166235,24.991639,15.9500319,38.6521203
Aphytis,faurei,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,fioriniae,1,26.4073841,93.2551303,26.4073841,93.2551303
Aphytis,fisheri,8,-28.8166235,-118.7559973,36.7014631,139.2394179
Aphytis,funicularis,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,gordoni,4,14.5203896,-118.7559973,36.7014631,114.1628131
Aphytis,griseus,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,hispanicus,34,-34.9964962,-160.355485,59.6749712,120.9820179
Aphytis,holoxanthus,23,-34.9964962,-118.7559973,36.7014631,144.4588889
Aphytis,huidongensis,1,23.1357694,113.1982688,23.1357694,113.1982688
Aphytis,ignotus,2,-41.500083,147.2869493,-31.8759834,172.8344077
Aphytis,immaculatus,3,23.1357694,-118.7559973,36.7014631,120.9820179
Aphytis,japonicus,2,36.5748441,126.7893535,37.5540282,139.2394179
Aphytis,keatsi,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,landii,1,-31.8759834,147.2869493,-31.8759834,147.2869493
Aphytis,lepidosaphes,39,-34.9964962,-157.9752029,42.6384261,179.0122737
Aphytis,liangi,1,23.1357694,113.1982688,23.1357694,113.1982688
Aphytis,libanicus,6,26.2540493,12.674297,42.6384261,52.9471344
Aphytis,limonus,1,21.2160437,-157.9752029,21.2160437,-157.9752029
Aphytis,lindingaspis,1,26.5450001,117.842778,26.5450001,117.842778
Aphytis,lingnanensis,50,-36.5986095,-118.7559973,40.0028028,179.0122737
Aphytis,longicaudus,2,22.2793278,113.1982688,23.1357694,114.1628131
Aphytis,luteus,6,34.9823018,9.0982074,51.0834196,33.1451285
Aphytis,maculatipes,1,-25.2303004,121.0187246,-25.2303004,121.0187246
Aphytis,maculicornis,27,-34.9964962,-118.7559973,59.6749712,113.1982688
Aphytis,manii,1,14.5203896,75.7223521,14.5203896,75.7223521
Aphytis,margaretae,2,-22.2752761,-99.1332101,19.4325301,-42.4194149
Aphytis,mashae,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Aphytis,matruhi,1,26.2540493,29.2675469,26.2540493,29.2675469
Aphytis,mazalae,4,23.1357694,71.247499,36.5748441,139.2394179
Aphytis,melinus,30,-36.5986095,-118.7559973,52.2379891,144.6780052
Aphytis,merceti,1,-28.8166235,24.991639,-28.8166235,24.991639
Aphytis,mimosae,2,-28.8166235,24.991639,10.2116702,38.6521203
Aphytis,minutissimus,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,miquihuana,1,19.4325301,-99.1332101,19.4325301,-99.1332101
Aphytis,moldavicus,4,38.6281733,15.4749544,49.8167003,70.8156541
Aphytis,mytilaspidis,81,-41.500083,-124.9999999,59.6749712,172.8344077
Aphytis,neuter,4,38.6281733,34.9249653,41.32373,70.8156541
Aphytis,newtoni,1,-21.9182855,144.4588889,-21.9182855,144.4588889
Aphytis,notialis,2,-34.9964962,-71.3187696,-31.7613364,-64.9672816
