Trichogramma nerudai,-38;-72,-36;-64,2
Trichogramma nubilale,23;-100,47;113,11
Trichogramma oleae,-38;-64,46;22,4
Trichogramma ostriniae,-31;-84,46;138,18
Trichogramma pratti,37;-119,37;-119,1
Trichogramma sathon,24;-119,37;-100,5
Trichogramma semblidis,15;-149,64;83,32
Trichogramma sibericum,37;-128,54;113,4
Trichogramma tshumakovae,32;54,41;75,2
Trichogrammatoidea armigera,-31;-122,39;122,21
Trichogrammatoidea bactrae,-41;-119,37;175,22
