family,genus,species,num_orders,num_fam,num_spp
Torymidae,Ditropinotus,aureoviridis,2,3,24
Torymidae,Ditropinotus,obscurus,0,0,0
Torymidae,Megastigmus,acaciae,1,1,1
Torymidae,Megastigmus,aculeatus,1,1,26
Torymidae,Megastigmus,albifrons,1,1,10
Torymidae,Megastigmus,albizziae,1,1,1
Torymidae,Megastigmus,amamoori,0,0,0
Torymidae,Megastigmus,amelanchieris,1,1,4
Torymidae,Megastigmus,americanus,1,1,1
Torymidae,Megastigmus,amicorum,1,1,5
Torymidae,Megastigmus,asteri,0,0,0
Torymidae,Megastigmus,atedius,1,1,17
Torymidae,Megastigmus,atlanticus,1,1,3
Torymidae,Megastigmus,banksiae,0,0,0
Torymidae,Megastigmus,bipunctatus,2,4,7
Torymidae,Megastigmus,borriesi,1,1,5
Torymidae,Megastigmus,borus,0,0,0
Torymidae,Megastigmus,brachychitoni,0,0,0
Torymidae,Megastigmus,brachyscelidis,2,2,5
Torymidae,Megastigmus,brasiliensis,1,1,1
Torymidae,Megastigmus,brevicaudis,2,3,8
Torymidae,Megastigmus,brevivalvus,1,1,2
Torymidae,Megastigmus,caperatus,1,1,1
Torymidae,Megastigmus,carinus,1,1,1
Torymidae,Megastigmus,cecili,0,0,0
Torymidae,Megastigmus,cellus,0,0,0
Torymidae,Megastigmus,certus,1,1,3
Torymidae,Megastigmus,chamaecyparidis,1,1,1
Torymidae,Megastigmus,chrisburwelli,1,1,1
Torymidae,Megastigmus,cotoneastri,1,1,5
Torymidae,Megastigmus,cryptomeriae,1,2,3
Torymidae,Megastigmus,cupressi,1,1,1
Torymidae,Megastigmus,cynipedis,0,0,0
Torymidae,Megastigmus,darlingi,1,1,1
Torymidae,Megastigmus,dharwadicus,0,0,0
Torymidae,Megastigmus,distylii,1,1,1
Torymidae,Megastigmus,drances,0,0,0
Torymidae,Megastigmus,duclouxiana,1,1,2
Torymidae,Megastigmus,erolhasani,0,0,0
Torymidae,Megastigmus,eucalypti,0,0,0
