family,genus,species,mode,min_length,max_length,Nearctic,Neotropical,W.Palearctic,Ethiopian,E.Palearctic,Oriental,Australasian,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,nbr_country,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other.Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,pair,min_dev,max_dev,eco
Trichogrammatidae,Trichogramma,cordubensis,asex,NA,NA,0,0,1,0,0,0,0,32,-26,40,54,37,0,38,-8,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,17,par
Trichogrammatidae,Trichogramma,dianae,asex,NA,NA,1,0,0,0,0,0,0,28,-92,39,-77,35,-82,36,-81,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Trichogrammatidae,Trichogramma,flavum,asex,NA,NA,1,0,0,0,1,0,0,28,-82,38,114,33,16,33,16,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,par
Trichogrammatidae,Trichogramma,lasallei,sex,NA,NA,1,1,0,0,0,0,0,-33,-103,28,-47,4,-69,14,-65,12,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,NA,NA,par
Trichogrammatidae,Trichogramma,lopezandinensis,sex,NA,NA,0,1,0,0,0,0,0,5,-74,5,-74,5,-74,5,-74,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,NA,NA,par
Trichogrammatidae,Trichogramma,nerudai,sex,NA,NA,0,1,0,0,0,0,0,-38,-72,-36,-64,-37,-68,-37,-68,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9,11,par
Trichogrammatidae,Trichogramma,nubilale,asex,NA,NA,1,0,0,0,0,1,0,23,-100,47,113,36,-67,38,-82,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA,par
Trichogrammatidae,Trichogramma,oleae,asex,NA,NA,0,1,1,0,0,0,0,-38,-64,46,22,22,-7,40,7,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA,par
Trichogrammatidae,Trichogramma,ostriniae,sex,0.5,0.65,1,0,0,1,1,1,0,-31,-84,46,138,33,82,37,117,18,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA,par
Trichogrammatidae,Trichogramma,pratti,sex,NA,NA,1,0,0,0,0,0,0,37,-119,37,-119,37,-119,37,-119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA,par
Trichogrammatidae,Trichogramma,sathon,sex,NA,NA,1,1,0,0,0,0,0,24,-119,37,-100,32,-108,34,-106,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA,NA,par
Trichogrammatidae,Trichogramma,semblidis,asex,0.5,0.5,1,0,1,0,1,1,0,15,-149,64,83,47,-16,47,8,32,59,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,NA,NA,par
Trichogrammatidae,Trichogramma,sibericum,asex,NA,NA,1,0,0,0,1,0,0,37,-128,54,113,45,-53,45,-98,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA,NA,par
Trichogrammatidae,Trichogramma,tshumakovae,sex,NA,NA,0,0,1,0,1,0,0,32,54,41,75,37,64,37,64,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,NA,NA,par
Trichogrammatidae,Trichogrammatoidea,armigera,sex,0.45,0.5,0,1,0,1,0,1,0,-31,-122,39,122,11,-11,13,-61,21,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA,NA,par
Trichogrammatidae,Trichogrammatoidea,bactrae,sex,0.42,0.5,1,1,1,0,0,1,1,-41,-119,37,175,5,72,13,101,22,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,NA,NA,par
