family,genus,species,mode,min_length,max_length,Nearctic,Neotropical,W.Palearctic,Ethiopian,E.Palearctic,Oriental,Australasian,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,nbr_country,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other.Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,pair,min_dev,max_dev,eco
Aphelinidae,Aphytis,costalimai,sex,0.81,1.18,0,1,0,0,0,0,0,-38,-64,-19,-43,-25,-51,-23,-47,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,NA,NA,par
Aphelinidae,Aphytis,cylindratus,sex,0.76,1.36,1,1,0,0,1,0,0,-23,-119,37,138,3,-35,-9,-45,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,17,par
Aphelinidae,Aphytis,debachi,sex,0.77,0.98,1,0,0,0,1,1,0,22,-119,37,138,29,73,24,114,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,18,21,par
Aphelinidae,Aphytis,desantisi,asex,0.65,0.87,0,1,0,0,0,0,0,-38,-64,-38,-64,-38,-64,-38,-64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,equatorialis,sex,0.7,0.8,0,0,0,1,0,0,0,-31,-6,8,23,-12,9,-12,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,par
Aphelinidae,Aphytis,faurei,sex,1.13,1.62,0,0,0,1,0,0,0,-31,23,-31,23,-31,23,-31,23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,par
Aphelinidae,Aphytis,fioriniae,asex,0.76,0.93,0,0,0,0,0,1,0,26,93,26,93,26,93,26,93,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA,NA,par
Aphelinidae,Aphytis,fisheri,sex,0.68,1.24,1,0,0,1,1,1,0,-31,-119,37,138,19,63,23,87,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,14,par
Aphelinidae,Aphytis,griseus,sex,0.67,1.17,0,0,0,1,0,0,0,-31,23,-31,23,-31,23,-31,23,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,par
Aphelinidae,Aphytis,haywardi,asex,0.78,0.98,0,1,0,0,0,0,0,-38,-64,-33,-56,-35,-60,-35,-60,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,NA,NA,par
Aphelinidae,Aphytis,holoxanthus,sex,0.92,1.18,1,1,1,1,1,1,1,-38,-119,37,143,13,-3,22,-52,23,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,14,par
Aphelinidae,Aphytis,hyalinipennis,sex,1.19,1.34,0,0,0,0,0,0,1,-21,166,-21,166,-21,166,-21,166,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,NA,NA,phyt
Aphelinidae,Aphytis,immaculatus,sex,0.84,1.03,1,0,0,0,0,1,0,23,-119,37,121,28,38,24,113,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,par
Aphelinidae,Aphytis,japonicus,sex,0.73,0.89,0,0,0,0,1,0,0,36,128,36,138,36,133,36,133,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,16,20,par
Aphelinidae,Aphytis,lepidosaphes,sex,0.9,1.15,1,1,1,1,0,1,1,-38,-156,42,178,15,6,22,13,39,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,17,par
Aphelinidae,Aphytis,libanicus,asex,0.7,1.14,0,0,1,0,0,0,0,27,13,42,54,34,34,33,35,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,par
Aphelinidae,Aphytis,lingnanensis,asex,0.73,1.05,1,1,1,1,1,1,1,-38,-119,40,178,11,26,18,35,51,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,15,par
Aphelinidae,Aphytis,luteus,sex,0.87,1.5,0,0,1,0,0,0,0,35,9,51,33,43,18,42,16,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,par
Aphelinidae,Aphytis,margaretae,sex,0.78,1.11,0,1,0,0,0,0,0,-23,-103,24,-43,0,-73,0,-73,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,par
