nbr_country,0,0,-13.789
max_dist_equator,0,0,-2.545
min_dist_equator,0.2,0.4,0.386
latitude_mean,0.04,0.08,-1.792
latitude_min,0.54,0.92,-0.043
latitude_max,0,0,-2.576
min_body_length,0.36,0.72,-0.294
max_body_length,0.42,0.84,-0.267
host_spp,0,0,-14.45
