ref,var,pval1T,pval2T,z
-1,nbr_country,0,0,-48.795
-1,max_dist_eq,0,0,-8.053
-1,min_dist_eq,0,0,5.508
-1,lat_mean,0.0036,0.0072,-2.626
-1,lat_median,2e-04,4e-04,-3.369
-1,host_spp,0,0,-52.771
-1,lat_range,0,0,-13.238
0,nbr_country,0,0,-48.795
0,max_dist_eq,0,0,-8.053
0,min_dist_eq,0,0,5.508
0,lat_mean,0.0033,0.0066,-2.626
0,lat_median,6e-04,0.0012,-3.369
0,host_spp,0,0,-52.771
0,lat_range,0,0,-13.238
1,nbr_country,0,0,-39.775
1,max_dist_eq,0,0,-6.928
1,min_dist_eq,0,0,4.827
1,lat_mean,0.0052,0.0104,-2.496
1,lat_median,0.001,0.002,-3.219
1,host_spp,0,0,-45.411
1,lat_range,0,0,-11.168
2,nbr_country,0,0,-32.841
2,max_dist_eq,0,0,-6.183
2,min_dist_eq,0,0,4.635
2,lat_mean,0.0142,0.0284,-2.323
2,lat_median,0.0019,0.0038,-3.08
2,host_spp,0,0,-39.427
2,lat_range,0,0,-9.671
3,nbr_country,0,0,-27.811
3,max_dist_eq,0,0,-5.435
3,min_dist_eq,0,0,4.327
3,lat_mean,0.0244,0.0488,-2.041
3,lat_median,0.0063,0.0126,-2.615
3,host_spp,0,0,-35.588
3,lat_range,0,0,-8.5
4,nbr_country,0,0,-23.944
4,max_dist_eq,0,0,-4.488
4,min_dist_eq,0,0,3.9
4,lat_mean,0.1708,0.3416,-1.011
4,lat_median,0.0845,0.169,-1.497
4,host_spp,0,0,-32.105
4,lat_range,0,0,-7.569
5,nbr_country,0,0,-23.542
5,max_dist_eq,0,0,-4.3
5,min_dist_eq,0.0063,0.0126,2.953
5,lat_mean,0.11,0.22,-1.111
5,lat_median,0.0448,0.0896,-1.694
5,host_spp,0,0,-31.477
5,lat_range,0,0,-6.426
6,nbr_country,0,0,-21.121
6,max_dist_eq,0,0,-4.387
6,min_dist_eq,0.0026,0.0052,2.952
6,lat_mean,0.1612,0.3224,-0.971
6,lat_median,0.0635,0.127,-1.673
6,host_spp,0,0,-29.017
6,lat_range,0,0,-6.264
7,nbr_country,0,0,-17.608
7,max_dist_eq,3e-04,6e-04,-3.61
7,min_dist_eq,0.0082,0.0164,2.759
7,lat_mean,0.385,0.77,-0.164
7,lat_median,0.2215,0.443,-0.799
7,host_spp,0,0,-25.055
7,lat_range,0,0,-5.64
8,nbr_country,5e-04,0.001,-13.563
8,max_dist_eq,0.0037,0.0074,-2.85
8,min_dist_eq,0.0269,0.0538,2.189
8,lat_mean,0.446,0.892,0.258
8,lat_median,0.4189,0.8378,-0.207
8,host_spp,1e-04,2e-04,-21.696
8,lat_range,8e-04,0.0016,-4.582
9,nbr_country,3e-04,6e-04,-15.726
9,max_dist_eq,0.0024,0.0048,-3.075
9,min_dist_eq,0.0166,0.0332,2.846
9,lat_mean,0.3461,0.6922,0.895
9,lat_median,0.4665,0.933,0.329
9,host_spp,0,0,-23.301
9,lat_range,6e-04,0.0012,-5.404
10,nbr_country,3e-04,6e-04,-15.106
10,max_dist_eq,0.0012,0.0024,-3.276
10,min_dist_eq,0.0323,0.0646,2.97
10,lat_mean,0.5325,0.935,0.57
10,lat_median,0.6227,0.7546,0.025
10,host_spp,0,0,-22.676
10,lat_range,3e-04,6e-04,-5.637
11,nbr_country,0.0016,0.0032,-12.296
11,max_dist_eq,0.0039,0.0078,-2.93
11,min_dist_eq,0.1473,0.2946,2.479
11,lat_mean,0.2815,0.563,-0.017
11,lat_median,0.2507,0.5014,-0.395
11,host_spp,0,0,-19.667
11,lat_range,0.0106,0.0212,-4.642
12,nbr_country,0.0015,0.003,-11.231
12,max_dist_eq,0.0115,0.023,-2.313
12,min_dist_eq,0.161,0.322,2.508
12,lat_mean,0.6605,0.679,0.276
12,lat_median,0.3489,0.6978,-0.012
12,host_spp,2e-04,4e-04,-18.779
12,lat_range,0.0145,0.029,-4.497
13,nbr_country,0.0039,0.0078,-11.151
13,max_dist_eq,0.0148,0.0296,-2.344
13,min_dist_eq,0.2808,0.5616,2.328
13,lat_mean,0.3977,0.7954,0.879
13,lat_median,0.3329,0.6658,0.809
13,host_spp,3e-04,6e-04,-18.48
13,lat_range,0.0289,0.0578,-4.372
14,nbr_country,0.0109,0.0218,-10.131
14,max_dist_eq,0.0342,0.0684,-2.221
14,min_dist_eq,0.35,0.7,2.262
14,lat_mean,0.4086,0.8172,1.051
14,lat_median,0.3681,0.7362,0.904
14,host_spp,0.0016,0.0032,-16.223
14,lat_range,0.077,0.154,-4.107
15,nbr_country,0.0176,0.0352,-9.126
15,max_dist_eq,0.0393,0.0786,-2.118
15,min_dist_eq,0.3314,0.6628,2.106
15,lat_mean,0.438,0.876,1.057
15,lat_median,0.3935,0.787,0.866
15,host_spp,0.0037,0.0074,-15.942
15,lat_range,0.0819,0.1638,-3.877
16,nbr_country,0.0228,0.0456,-9.395
16,max_dist_eq,0.114,0.228,-1.341
16,min_dist_eq,0.3568,0.7136,2.032
