family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Aphelinidae,Aphytis,anneckei,sex,1.09-1.45,4,-31;23,0;38,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,NA
Aphelinidae,Aphytis,anomalus,asex,1.38,2,-23;-45,-19;-43,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,NA
Aphelinidae,Aphytis,antennalis,asex,1.40,6,22;114,22;114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
Aphelinidae,Aphytis,aonidiae,asex,0.60-0.63,1-2-3-5,-38;-119,52;138,25,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,NA
Aphelinidae,Aphytis,capensis,sex,1.22-1.30,4,-31;23,-31;23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,NA
Aphelinidae,Aphytis,cercinus,sex,0.93-1.22,4,-31;18,-23;23,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA
Aphelinidae,Aphytis,chilensis,asex,0.50-1.08,WW,-41;-119,51;175,20,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,17-21
Aphelinidae,Aphytis,chrysomphali,asex,0.55-0.99,WW,-38;-156,51;178,76,63,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,14
Aphelinidae,Aphytis,coheni,sex,0.86-1.11,1-3-4,-31;-119,39;35,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,NA
Aphelinidae,Aphytis,columbi,sex,0.96-1.23,7,-31;-97,29;147,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,NA
Aphelinidae,Aphytis,comperei,asex,0.77-1.07,1-2-4-5-6,-31;-103,32;114,7,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,confusus,sex,0.94-1.07,4-6,-31;23,23;113,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,costalimai,sex,0.81-1.18,2,-38;-64,-19;-43,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,NA
Aphelinidae,Aphytis,cylindratus,sex,0.76-1.36,1-2-5,-23;-119,37;138,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17
Aphelinidae,Aphytis,debachi,sex,0.77-0.98,1-5-6,22;-119,37;138,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,18-21
Aphelinidae,Aphytis,desantisi,asex,0.65-0.87,2,-38;-64,-38;-64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,equatorialis,sex,0.70-0.80,4,-31;-6,8;23,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
Aphelinidae,Aphytis,faurei,sex,1.13-1.62,4,-31;23,-31;23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,NA
Aphelinidae,Aphytis,fioriniae,asex,0.76-0.93,6,26;93,26;93,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,NA
Aphelinidae,Aphytis,fisheri,sex,0.68-1.24,1-4-5-6,-31;-119,37;138,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13-14
Aphelinidae,Aphytis,griseus,sex,0.67-1.17,4,-31;23,-31;23,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,NA
Aphelinidae,Aphytis,haywardi,asex,0.78-0.98,2,-38;-64,-33;-56,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,NA
