family,genus,species,syn,mode,min_body_length,max_body_length,ref_body_size,latitude_min,latitude_max,latitude_mean,latitude_median,max_dist_equator,latitude_range,min_dist_equator,nbr_country,ref_distribution_data,host_spp,ref_nbr_host_spp,pair,ref_phylogeny_pair,phylogeny_inferred_from,Notes:
Aphelinidae,Aphelinus,albipodus,NA,sex,1.025,1.025,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",-23,47,28,35,47,70,11,17,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Hayat+%26+Fatima&VALGENUS=Aphelinus&HOMCODE=0&VALDATE=1992&VALSPECIES=albipodus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphelinus&tab=distribution,19,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",1,"Darsouei R. et al. 2011. First record of Aphelinus paramali Zehavi and Rosen 1989 (Hymenoptera, Aphelinidae), parasitoid of Aphis pomi de Geer (Hemiptera, Aphididae) in Iran, and its phylogenetic position based on sequence data of ITS2 and COI genes. Entomological Research. 41(5): 194-200",18S-28S-SNP-ITS2,
Aphelinidae,Aphelinus,asychis,NA,asex,1.782,1.782,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",-38,62,30,36,62,100,5,62,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Walker&VALGENUS=Aphelinus&HOMCODE=0&VALDATE=1839&VALSPECIES=asychis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphelinus&tab=distribution,57,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",1,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",18S-28S-SNP,
Aphelinidae,Aphelinus,certus,NA,sex,1.29,1.29,Japoshvili G. and Hansen L. O. 2014. Revision of the genus Aphelinus Dalman (Hymenoptera: Chalcidoidea: Aphelinidae) in Norway with descriptions of 3 new species. Turkish Journal of Zoology. 38: 552-558,36,62,45,45,62,26,36,5,"Rhoades J. 2015. A comparative study of courtship behaviours across the genus Aphelinus (Aphelinidae, Hymenoptera) and their role in speciation. MSc thesis, University of Delaware",NA,Hopper K. R. and Diers B. W. 2014. Parasitism of soybean aphid by Aphelinus species on soybean susceptible versus resistant to the aphid. Biological Control. 76: 101-106,1,"Rhoades J. 2015. A comparative study of courtship behaviours across the genus Aphelinus (Aphelinidae, Hymenoptera) and their role in speciation. MSc thesis, University of Delaware",18S-28S-SNP,
Aphelinidae,Aphelinus,mali,NA,sex,1.266,1.266,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",-41,62,27,37,62,103,2,103,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Haldeman%29&VALGENUS=Aphelinus&HOMCODE=0&VALDATE=1851&VALSPECIES=mali&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphelinus&tab=distribution,36,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",1,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",18S-28S,
Aphelinidae,Aphelinus,varipes,NA,sex,1.082,1.082,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",-36,60,34,39,60,96,23,44,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28F%f6rster%29&VALGENUS=Aphelinus&HOMCODE=0&VALDATE=1841&VALSPECIES=varipes&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphelinus&tab=distribution,23,"Symonds M. R. E. and Elgar M. A. 2013. The evolution of body size, antennal size and host use in parasitoid wasps (Hymenoptera: Chalcidoidea): A phylogenetic comparative analysis. PLOS ONE. 8(10): e78297",1,"Darsouei R. et al. 2011. First record of Aphelinus paramali Zehavi and Rosen 1989 (Hymenoptera, Aphelinidae), parasitoid of Aphis pomi de Geer (Hemiptera, Aphididae) in Iran, and its phylogenetic position based on sequence data of ITS2 and COI genes. Entomological Research. 41(5): 194-200",18S-28S,
Aphelinidae,Aphytis,acrenulatus,NA,sex,0.86,1.25,"Garonna A. P. 1992. On the occurrence in Italy of Aphytis acrenulatus Rosen & Debach (Hymenoptera: Aphelinidae) parasite on Rhizaspidiotus donacis Leonardi (Homoptera: Diaspididae). Bollettino del Laboratorio di entomologia agraria Filippo Silvestri. 49: 53-59;Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-20,42,11,11,42,62,20,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=acrenulatus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=acrenulatus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,acutaspidis,NA,asex,1.18,1.28,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-23,-23,-23,-23,23,0.001,23,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Rosen+%26+DeBach%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=acutaspidis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dParaphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Rosen+%26+DeBach%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=acutaspidis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dParaphytis&tab=associates,30,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,Now Paraphytis
Aphelinidae,Aphytis,amazonensis,NA,sex,0.7,0.7,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",2,2,2,2,2,0.001,2,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Rosen+%26+DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=amazonensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,NA,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Rosen+%26+DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=amazonensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,anneckei,NA,sex,1.09,1.45,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,0,-15,-15,31,31,0,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=anneckei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=anneckei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,7,"Polaszek A. et al. 2013. Wallaceaphytisæ: an unusual new genus of parasitoid wasp (Hymenopteraæ: Aphilinidae) from Borneo. Journal of Natural History. 48(19-20): 1111-1123; Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",28S-D2-D3-morphology,
Aphelinidae,Aphytis,anomalus,NA,asex,1.38,1.38,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-23,-19,-21,-21,23,4,19,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Compere%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=anomalus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dParaphytis&tab=distribution,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Compere%29&VALGENUS=Paraphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=anomalus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3dunicus%26Family%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dParaphytis&tab=associates,22,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,Now Paraphytis
