family,genus,species,syn,mode,min_body_length,max_body_length,ref_body_size,latitude_min,latitude_max,latitude_mean,latitude_median,max_dist_equator,latitude_range,min_dist_equator,nbr_country,ref_distribution_data,host_spp,ref_nbr_host_spp,pair,ref_phylogeny_pair,phylogeny_inferred_from,Notes:
Aphelinidae,Aphytis,antennalis,NA,asex,1.4,1.4,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",22,22,22,22,22,0.001,22,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Rosen+%26+DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1979&VALSPECIES=antennalis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=distribution,NA,NA,9,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,aonidiae,NA,asex,0.6,0.63,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,52,31,39,52,90,24,25,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Mercet%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1911&VALSPECIES=aonidiae&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=distribution,31,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Mercet%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1911&VALSPECIES=aonidiae&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSpecies%3daonidiae%26Superfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=associates,5,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,capensis,NA,sex,1.22,1.3,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,-31,-31,-31,31,0.001,31,1,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=capensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=capensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,29,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,cercinus,NA,sex,0.93,1.22,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,-23,-27,-27,31,8,23,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=cercinus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,4,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Compere&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1955&VALSPECIES=cercinus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,9,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,chilensis,NA,asex,0.5,1.08,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-41,51,17,34,51,92,9,20,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Howard&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1900&VALSPECIES=chilensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,31,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=Howard&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1900&VALSPECIES=chilensis&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,8,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,chrysomphali,NA,asex,0.55,0.99,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-38,51,16,24,51,89,2,76,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Mercet%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1912&VALSPECIES=chrysomphali&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=distribution,63,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Mercet%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1912&VALSPECIES=chrysomphali&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,7,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,coheni,NA,sex,0.86,1.11,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,39,23,33,39,70,27,6,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1960&VALSPECIES=coheni&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,6,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1960&VALSPECIES=coheni&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,3,Polaszek A. et al. 2013. Wallaceaphytisæ: an unusual new genus of parasitoid wasp (Hymenopteraæ: Aphilinidae) from Borneo. Journal of Natural History. 48(19-20): 1111-1123,28S-D2-D3,
Aphelinidae,Aphytis,columbi,NA,sex,0.96,1.23,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,29,-8,-21,31,60,21,3,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Girault%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1932&VALSPECIES=columbi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,5,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=%28Girault%29&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1932&VALSPECIES=columbi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,8,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,comperei,NA,asex,0.77,1.07,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,32,17,23,32,63,18,7,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=comperei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dAphelinidae%26Genus%3dAphytis&tab=distribution,9,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=comperei&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
Aphelinidae,Aphytis,confusus,NA,sex,0.94,1.07,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",-31,23,-4,-4,31,54,23,2,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=confusus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,3,Noyes JS September 2016. Universal Chalcidoidea Database. World Wide Web electronic publication. http://www.nhm.ac.uk/our-science/data/chalcidoids/database/detail.dsml?FamilyCode=BA&VALAUTHOR=DeBach+%26+Rosen&VALGENUS=Aphytis&HOMCODE=0&VALDATE=1976&VALSPECIES=confusus&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fFamily%3dAphelinidae%26Superfamily%3dChalcidoidea%26Genus%3dAphytis&tab=associates,6,"Rosen D. and DeBach P. 1979. Species of Aphytis of the World (Hymenoptera: Aphelinidae). Series Entomologica Volume 17, Israel University Press, Jerusalem (1978). Dr. W. Junk BV Publishers, 1979, 801 pp.",morphology,
