family,genus,species,ref
Aphelinidae,Aphelinus,rhopalosiphiphagus,2
Aphelinidae,Aphelinus,sanborniae,1
Aphelinidae,Aphelinus,semiflavus,5
Aphelinidae,Aphelinus,sharpae,1
Aphelinidae,Aphelinus,siphonophorae,2
Aphelinidae,Aphelinus,spiraecolae,4
Aphelinidae,Aphelinus,subauriceps,2
Aphelinidae,Aphelinus,subflavescens,6
Aphelinidae,Aphelinus,takecallis,1
Aphelinidae,Aphelinus,taurus,1
Aphelinidae,Aphelinus,tetrataenion,5
Aphelinidae,Aphelinus,thomsoni,3
Aphelinidae,Aphelinus,tiliaphidis,1
Aphelinidae,Aphelinus,truncaticlavus,2
Aphelinidae,Aphelinus,uncinctiventris,1
Aphelinidae,Aphelinus,varipes,13
Aphelinidae,Aphelinus,wenshanus,1
Aphelinidae,Aphelinus,yasnoshae,4
Aphelinidae,Aphytis,aberrans,2
Aphelinidae,Aphytis,abnormis,5
Aphelinidae,Aphytis,acalcaratus,1
Aphelinidae,Aphytis,acrenulatus,1
Aphelinidae,Aphytis,africanus,7
Aphelinidae,Aphytis,alami,1
Aphelinidae,Aphytis,albus,1
Aphelinidae,Aphytis,alexandrina,2
Aphelinidae,Aphytis,aligarhensis,1
Aphelinidae,Aphytis,amazonensis,1
Aphelinidae,Aphytis,angeloni,4
Aphelinidae,Aphytis,anneckei,1
Aphelinidae,Aphytis,antennalis,3
Aphelinidae,Aphytis,aonidiae,15
Aphelinidae,Aphytis,azai,1
Aphelinidae,Aphytis,bangalorensis,1
Aphelinidae,Aphytis,bedfordi,2
Aphelinidae,Aphytis,capensis,1
Aphelinidae,Aphytis,caucasicus,1
Aphelinidae,Aphytis,cercinus,1
Aphelinidae,Aphytis,chilensis,17
Aphelinidae,Aphytis,chionaspis,1
Aphelinidae,Aphytis,chrysomphali,15
Aphelinidae,Aphytis,coheni,5
Aphelinidae,Aphytis,columbi,6
Aphelinidae,Aphytis,comperei,4
Aphelinidae,Aphytis,confusus,4
Aphelinidae,Aphytis,cornuaspis,1
Aphelinidae,Aphytis,cylindratus,3
Aphelinidae,Aphytis,debachi,3
Aphelinidae,Aphytis,desantisi,1
Aphelinidae,Aphytis,diaspidis,29
Aphelinidae,Aphytis,elongatus,1
Aphelinidae,Aphytis,equatorialis,3
Aphelinidae,Aphytis,erythraeus,2
Aphelinidae,Aphytis,faurei,3
Aphelinidae,Aphytis,fioriniae,1
Aphelinidae,Aphytis,fisheri,1
Aphelinidae,Aphytis,funicularis,1
Aphelinidae,Aphytis,gordoni,4
Aphelinidae,Aphytis,griseus,2
Aphelinidae,Aphytis,hispanicus,12
Aphelinidae,Aphytis,holoxanthus,7
Aphelinidae,Aphytis,huidongensis,1
Aphelinidae,Aphytis,ignotus,2
Aphelinidae,Aphytis,immaculatus,3
Aphelinidae,Aphytis,japonicus,2
Aphelinidae,Aphytis,keatsi,3
Aphelinidae,Aphytis,landii,1
Aphelinidae,Aphytis,lepidosaphes,7
Aphelinidae,Aphytis,liangi,1
Aphelinidae,Aphytis,libanicus,2
Aphelinidae,Aphytis,limonus,4
Aphelinidae,Aphytis,lindingaspis,1
Aphelinidae,Aphytis,lingnanensis,6
Aphelinidae,Aphytis,longicaudus,3
Aphelinidae,Aphytis,luteus,6
Aphelinidae,Aphytis,maculatipes,2
Aphelinidae,Aphytis,maculicornis,6
Aphelinidae,Aphytis,manii,1
Aphelinidae,Aphytis,margaretae,1
Aphelinidae,Aphytis,mashae,2
Aphelinidae,Aphytis,matruhi,1
Aphelinidae,Aphytis,mazalae,4
Aphelinidae,Aphytis,melinus,10
Aphelinidae,Aphytis,merceti,1
Aphelinidae,Aphytis,mimosae,2
Aphelinidae,Aphytis,minutissimus,2
Aphelinidae,Aphytis,miquihuana,1
Aphelinidae,Aphytis,moldavicus,1
Aphelinidae,Aphytis,mytilaspidis,24
Aphelinidae,Aphytis,neuter,2
Aphelinidae,Aphytis,newtoni,2
Aphelinidae,Aphytis,notialis,1
Aphelinidae,Aphytis,opuntiae,4
Aphelinidae,Aphytis,paramaculicornis,2
Aphelinidae,Aphytis,perissoptroides,2
Aphelinidae,Aphytis,philippinensis,3
Aphelinidae,Aphytis,phoenicis,1
Aphelinidae,Aphytis,pilosus,2
Aphelinidae,Aphytis,pinnaspidis,1
Aphelinidae,Aphytis,proclia,12
Aphelinidae,Aphytis,punctaticorpus,4
Aphelinidae,Aphytis,quadraspidioti,1
Aphelinidae,Aphytis,riyadhi,1
Aphelinidae,Aphytis,rolaspidis,6
Aphelinidae,Aphytis,roseni,1
Aphelinidae,Aphytis,ruskini,2
Aphelinidae,Aphytis,salvadorensis,1
Aphelinidae,Aphytis,sankarani,1
Aphelinidae,Aphytis,secundus,4
Aphelinidae,Aphytis,sensorius,1
Aphelinidae,Aphytis,setosus,5
Aphelinidae,Aphytis,simmondsiae,1
Aphelinidae,Aphytis,simplex,2
Aphelinidae,Aphytis,sinaii,8
Aphelinidae,Aphytis,stepanovi,1
Aphelinidae,Aphytis,taylori,3
Aphelinidae,Aphytis,testaceus,2
Aphelinidae,Aphytis,theae,5
Aphelinidae,Aphytis,tucumani,1
Aphelinidae,Aphytis,ulianovi,1
Aphelinidae,Aphytis,unaspidis,2
Aphelinidae,Aphytis,unicus,4
Aphelinidae,Aphytis,vandenboschi,3
Aphelinidae,Aphytis,vastus,2
Aphelinidae,Aphytis,wandoorensis,1
Aphelinidae,Aphytis,yanonensis,5
Aphelinidae,Aphytis,yasumatsui,1
Aphelinidae,Encarsia,abatei,2
Aphelinidae,Encarsia,abundantia,1
Aphelinidae,Encarsia,acaudaleyrodis,4
Aphelinidae,Encarsia,accenta,5
Aphelinidae,Encarsia,adela,4
Aphelinidae,Encarsia,adusta,6
Aphelinidae,Encarsia,aethes,1
Aphelinidae,Encarsia,aethiopica,1
Aphelinidae,Encarsia,aferi,6
Aphelinidae,Encarsia,affectata,5
Aphelinidae,Encarsia,africana,3
Aphelinidae,Encarsia,albata,2
Aphelinidae,Encarsia,albiscutellum,20
Aphelinidae,Encarsia,alboscutellaris,2
Aphelinidae,Encarsia,aldrichi,4
Aphelinidae,Encarsia,alemansoori,1
Aphelinidae,Encarsia,aleurochitonis,8
Aphelinidae,Encarsia,aleurodici,10
Aphelinidae,Encarsia,aleuroilicis,2
Aphelinidae,Encarsia,aleuroplati,1
Aphelinidae,Encarsia,aleurothrixi,1
Aphelinidae,Encarsia,aleurotubae,2
Aphelinidae,Encarsia,altacima,2
Aphelinidae,Encarsia,altamira,1
Aphelinidae,Encarsia,alvaradoi,2
Aphelinidae,Encarsia,amabilis,4
Aphelinidae,Encarsia,ameca,1
Aphelinidae,Encarsia,americana,9
Aphelinidae,Encarsia,amicula,2
Aphelinidae,Encarsia,ancistrocera,3
Aphelinidae,Encarsia,ancora,4
Aphelinidae,Encarsia,andamanica,1
Aphelinidae,Encarsia,andrewi,7
Aphelinidae,Encarsia,antennata,2
Aphelinidae,Encarsia,antiopa,10
Aphelinidae,Encarsia,aonidiae,2
Aphelinidae,Encarsia,arabica,2
Aphelinidae,Encarsia,armata,3
Aphelinidae,Encarsia,armillata,5
Aphelinidae,Encarsia,aseta,1
Aphelinidae,Encarsia,asfar,1
Aphelinidae,Encarsia,ashmeadi,7
Aphelinidae,Encarsia,aspidioticola,2
Aphelinidae,Encarsia,assamensis,1
Aphelinidae,Encarsia,asterobemisiae,3
Aphelinidae,Encarsia,atlantica,1
Aphelinidae,Encarsia,aurantii,14
Aphelinidae,Encarsia,aureola,6
Aphelinidae,Encarsia,aurithorax,2
Aphelinidae,Encarsia,axacaliae,1
Aphelinidae,Encarsia,azimi,17
Aphelinidae,Encarsia,azteca,4
Aphelinidae,Encarsia,bangalorensis,2
Aphelinidae,Encarsia,barracas,2
Aphelinidae,Encarsia,basicincta,4
Aphelinidae,Encarsia,bella,2
Aphelinidae,Encarsia,bellottii,2
Aphelinidae,Encarsia,bennetti,1
Aphelinidae,Encarsia,berlesei,16
Aphelinidae,Encarsia,bicolor,3
Aphelinidae,Encarsia,bifasciata,3
Aphelinidae,Encarsia,bimaculata,7
Aphelinidae,Encarsia,bolangera,1
Aphelinidae,Encarsia,borkusiensis,1
Aphelinidae,Encarsia,boswelli,11
Aphelinidae,Encarsia,bothrocera,10
Aphelinidae,Encarsia,brachyura,3
Aphelinidae,Encarsia,brahmsi,3
Aphelinidae,Encarsia,brasiliensis,14
Aphelinidae,Encarsia,brevicalcar,1
Aphelinidae,Encarsia,brevivalvula,2
Aphelinidae,Encarsia,brevivena,2
Aphelinidae,Encarsia,brimblecombei,40
Aphelinidae,Encarsia,brittanica,5
Aphelinidae,Encarsia,brunnea,4
Aphelinidae,Encarsia,bunyae,5
Aphelinidae,Encarsia,caelata,1
Aphelinidae,Encarsia,caelibaris,1
Aphelinidae,Encarsia,californica,1
Aphelinidae,Encarsia,capensis,4
Aphelinidae,Encarsia,cappa,5
Aphelinidae,Encarsia,cassida,4
Aphelinidae,Encarsia,catemaco,4
Aphelinidae,Encarsia,catherineae,7
Aphelinidae,Encarsia,caudata,1
Aphelinidae,Encarsia,cerataphivora,1
Aphelinidae,Encarsia,chaetogastra,4
Aphelinidae,Encarsia,chaoi,3
Aphelinidae,Encarsia,chauliodoa,4
Aphelinidae,Encarsia,chichenitza,2
Aphelinidae,Encarsia,cibcensis,11
Aphelinidae,Encarsia,ciliata,2
Aphelinidae,Encarsia,circumsculpturata,1
Aphelinidae,Encarsia,citrella,5
Aphelinidae,Encarsia,citri,10
Aphelinidae,Encarsia,citricola,2
Aphelinidae,Encarsia,citrina,38
Aphelinidae,Encarsia,citrofila,2
Aphelinidae,Encarsia,clara,3
Aphelinidae,Encarsia,clariscutellum,7
Aphelinidae,Encarsia,clavata,2
Aphelinidae,Encarsia,clavulata,1
Aphelinidae,Encarsia,clypealis,5
Aphelinidae,Encarsia,coimbatorensis,6
Aphelinidae,Encarsia,colima,3
Aphelinidae,Encarsia,collecta,5
Aphelinidae,Encarsia,confusa,4
Aphelinidae,Encarsia,coquilletti,7
Aphelinidae,Encarsia,coryli,2
Aphelinidae,Encarsia,costaricensis,4
Aphelinidae,Encarsia,craspedia,4
Aphelinidae,Encarsia,cubensis,4
Aphelinidae,Encarsia,curtifuniculata,3
Aphelinidae,Encarsia,cybele,2
Aphelinidae,Encarsia,dalbulae,1
Aphelinidae,Encarsia,davidi,5
Aphelinidae,Encarsia,desantisi,12
Aphelinidae,Encarsia,despecta,4
Aphelinidae,Encarsia,dewa,1
Aphelinidae,Encarsia,dialeurodis,4
Aphelinidae,Encarsia,dialeuroporae,1
Aphelinidae,Encarsia,diaspidicola,5
Aphelinidae,Encarsia,dichroa,6
Aphelinidae,Encarsia,dimai,1
