genus,species,num_loc,lat_min,lon_min,lat_max,lon_max
Trichogramma,fuentesi,16,-34.9964962,-118.7559973,47.2037987,-1.5695544
Trichogramma,funestum,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,funiculatum,3,-41.500083,144.4588889,-21.9182855,172.8344077
Trichogramma,fuzhouense,1,26.5450001,117.842778,26.5450001,117.842778
Trichogramma,gabrielino,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,galloi,9,-32.8755547,-75.0458514,2.893108,-42.4194149
Trichogramma,gicai,2,32.75175465,-16.9817465613,40.0028028,-4.0031039
Trichogramma,gordhi,2,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,guariquense,1,8.0018709,-66.1109317,8.0018709,-66.1109317
Trichogramma,hebbalensis,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,hesperidis,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,higai,1,21.2160437,-157.9752029,21.2160437,-157.9752029
Trichogramma,huberi,2,15.6356088,-99.1332101,19.4325301,-89.8988086
Trichogramma,infelix,1,10.2735633,-84.0739101,10.2735633,-84.0739101
Trichogramma,ingricum,1,59.9393657,30.3153628,59.9393657,30.3153628
Trichogramma,interius,5,19.4325301,-118.7559973,39.5158825,-99.1332101
Trichogramma,inyoense,9,36.7014631,-149.6809089,64.4459613,-66.7499999
Trichogramma,iracildae,1,-9.7081217,-36.6489726,-9.7081217,-36.6489726
Trichogramma,itsybitsi,4,35.6729639,-114.015407,43.6447642,-73.9865811
Trichogramma,ivelae,4,-36.5986095,112.0,40.9975197,144.6780052
Trichogramma,jalmirezi,1,-22.2752761,-42.4194149,-22.2752761,-42.4194149
Trichogramma,japonicum,47,-34.9493036,-157.9752029,50.0000002,150.8346571
Trichogramma,jaxarticum,1,39.3763807,59.3924609,39.3763807,59.3924609
Trichogramma,jezoense,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,julianoi,3,40.7305991,-94.6113287,50.0000002,-73.9865811
Trichogramma,kalkae,2,-13.2687203,1.0199765,8.7800265,33.9301963
Trichogramma,kankerense,1,21.663656,81.8410213,21.663656,81.8410213
Trichogramma,kashmiricum,1,34.0476564,76.7972892,34.0476564,76.7972892
Trichogramma,kaykai,2,36.5748441,-118.7559973,36.7014631,139.2394179
Trichogramma,kilinceri,1,38.9597594,34.9249653,38.9597594,34.9249653
Trichogramma,koehleri,1,-34.9964962,-64.9672816,-34.9964962,-64.9672816
Trichogramma,kurosuae,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,lachesis,2,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,lacustre,4,42.6073975,-0.540240236617,64.6863136,97.7453061
Trichogramma,lasallei,12,-32.8755547,-99.1332101,27.7567667,-49.0232347
Trichogramma,latipenne,1,23.8143419,77.5340719,23.8143419,77.5340719
Trichogramma,lenae,1,45.0819456,134.726645,45.0819456,134.726645
Trichogramma,leptoparameron,1,47.286747,28.5110236,47.286747,28.5110236
Trichogramma,leucaniae,3,31.0,112.0,37.0,118.9999999
Trichogramma,leviculum,3,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,lingulatum,2,36.0000001,118.9999999,36.5748441,139.2394179
Trichogramma,longxishanense,1,26.5450001,117.842778,26.5450001,117.842778
Trichogramma,lopezandinense,1,2.893108,-73.7845142,2.893108,-73.7845142
Trichogramma,maltbyi,11,27.7567667,-99.5120985,43.6211955,-78.492772
Trichogramma,mandelai,1,15.6134137,19.0156172,15.6134137,19.0156172
Trichogramma,manicobai,1,-18.5264843,-44.1588653,-18.5264843,-44.1588653
Trichogramma,manii,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,maori,1,-41.500083,172.8344077,-41.500083,172.8344077
Trichogramma,marandobai,1,-18.5264843,-44.1588653,-18.5264843,-44.1588653
Trichogramma,margianum,1,39.3763807,59.3924609,39.3763807,59.3924609
Trichogramma,marthae,2,35.6729639,-79.0392918,39.5162234,-76.9382068
Trichogramma,marylandense,6,31.8160381,-99.5120985,50.0000002,-76.9382068
Trichogramma,maxacalii,2,-21.9549805,-49.0232347,-18.5264843,-44.1588653
Trichogramma,meteorum,1,27.7567667,-81.4639834,27.7567667,-81.4639834
Trichogramma,minutum,113,-41.500083,-157.9752029,64.4459613,172.8344077
Trichogramma,mirabile,1,47.286747,28.5110236,47.286747,28.5110236
Trichogramma,mirum,1,-24.7761085,134.755,-24.7761085,134.755
Trichogramma,misiae,1,42.6073975,25.4856617,42.6073975,25.4856617
Trichogramma,mullensi,1,36.7014631,-118.7559973,36.7014631,-118.7559973
Trichogramma,mwanzai,1,-13.2687203,33.9301963,-13.2687203,33.9301963
Trichogramma,nemesis,4,38.7604815,-97.0,55.0000001,-71.9999999
Trichogramma,nerudai,2,-34.9964962,-71.3187696,-31.7613364,-64.9672816
Trichogramma,nestoris,1,42.6073975,25.4856617,42.6073975,25.4856617
Trichogramma,neuropterae,1,23.9739374,120.9820179,23.9739374,120.9820179
Trichogramma,niveiscapus,1,52.7954791,-0.540240236617,52.7954791,-0.540240236617
Trichogramma,nomlaki,4,-31.7613364,-118.7559973,55.0,-71.3187696
Trichogramma,nubilale,11,23.1357694,-99.5120985,45.9896587,113.1982688
Trichogramma,oatmani,1,23.0131338,-80.8328747,23.0131338,-80.8328747
Trichogramma,obscurum,4,8.0018709,-99.1332101,19.4325301,-66.1109317
Trichogramma,offella,1,30.8703881,-92.0071259,30.8703881,-92.0071259
Trichogramma,okinawae,1,36.5748441,139.2394179,36.5748441,139.2394179
Trichogramma,oleae,4,-34.9964962,-64.9672816,46.603354,21.9999569
Trichogramma,ostriniae,19,-28.8166235,-85.155141,48.0000047,139.2394179
Trichogramma,pallidiventris,1,14.5203896,75.7223521,14.5203896,75.7223521
Trichogramma,panamense,1,8.3096067,-81.3066245,8.3096067,-81.3066245
Trichogramma,pangi,1,26.5450001,117.842778,26.5450001,117.842778
Trichogramma,papilionidis,1,-11.8775767,17.5691241,-11.8775767,17.5691241
Trichogramma,papilionis,4,-33.5991294,-157.9752029,36.5748441,150.8346571
Trichogramma,parkeri,15,27.7567667,-124.9999999,55.0,-66.7499999
Trichogramma,parnarae,1,36.0,109.0,36.0,109.0
Trichogramma,parrai,1,-21.9549805,-49.0232347,-21.9549805,-49.0232347
Trichogramma,parvum,7,31.8160381,-99.5120985,41.6809707,44.0287382
Trichogramma,pelovi,1,42.6073975,25.4856617,42.6073975,25.4856617
Trichogramma,perkinsi,18,-34.9964962,-157.9752029,46.603354,87.6855882
Trichogramma,piceum,2,42.6384261,12.674297,47.286747,28.5110236
Trichogramma,pinneyi,1,-13.2687203,33.9301963,-13.2687203,33.9301963
Trichogramma,pintureaui,1,23.0131338,-80.8328747,23.0131338,-80.8328747
Trichogramma,plasseyense,3,-5.6816068,80.1863809,22.9964948,144.2489081
Trichogramma,platneri,11,21.2160437,-157.9752029,55.0,35.0015196
Trichogramma,pluto,3,10.2735633,-99.1332101,19.4325301,-84.0739101
Trichogramma,poliae,3,22.9964948,76.0,29.0,87.6855882
Trichogramma,polychrosis,1,28.0,116.0,28.0,116.0
Trichogramma,pratissolii,1,-19.5687681,-40.172199,-19.5687681,-40.172199
