genus,species,num_orders,num_fam,num_spp
Trichogramma,polychrosis,1,1,1
Trichogramma,pratissolii,1,2,2
Trichogramma,pratti,1,1,1
Trichogramma,pretiosum,5,24,138
Trichogramma,primaevum,0,0,0
Trichogramma,principium,1,5,16
Trichogramma,psocopterae,0,0,0
Trichogramma,pusillum,0,0,0
Trichogramma,raoi,1,5,5
Trichogramma,retorridum,1,5,10
Trichogramma,rojasi,1,5,12
Trichogramma,rossicum,1,1,1
Trichogramma,sankarani,1,2,2
Trichogramma,santarosae,0,0,0
Trichogramma,sathon,1,4,5
Trichogramma,savalense,1,2,3
Trichogramma,sembeli,1,1,3
Trichogramma,semblidis,5,16,59
Trichogramma,semifumatum,2,10,37
Trichogramma,sericini,1,2,2
Trichogramma,shaanxiense,1,1,1
Trichogramma,shchepetilnikovae,1,1,1
Trichogramma,sibiricum,1,3,6
Trichogramma,siddiqi,1,1,1
Trichogramma,silvestre,1,2,2
Trichogramma,singularis,0,0,0
Trichogramma,sinuosum,1,1,1
Trichogramma,sogdianum,1,1,1
Trichogramma,sorokinae,0,0,0
Trichogramma,stampae,1,4,9
Trichogramma,sugonjaevi,1,1,1
Trichogramma,suorangelica,0,0,0
Trichogramma,taiwanense,1,1,1
Trichogramma,tajimaense,2,2,2
Trichogramma,talitzkii,1,1,1
Trichogramma,tenebrosum,0,0,0
Trichogramma,terani,1,1,1
Trichogramma,thalense,1,5,10
Trichogramma,tielingense,1,1,1
Trichogramma,trjapitzini,1,2,2
Trichogramma,tshumakovae,1,2,2
Trichogramma,tupiense,0,0,0
Trichogramma,turkeiense,1,5,5
Trichogramma,turkestanicum,2,3,3
Trichogramma,umerus,1,1,1
Trichogramma,urquijoi,1,1,2
Trichogramma,ussuricum,1,1,1
Trichogramma,valentinei,0,0,0
Trichogramma,vargasi,1,1,1
Trichogramma,viggianii,0,0,0
Trichogramma,yabui,1,2,2
Trichogramma,yawarae,1,3,6
Trichogramma,zahiri,1,1,1
Trichogramma,zeirapherae,2,2,2
Trichogramma,zeta,0,0,0
Trichogramma,zucchii,0,0,0
