family,genus,species,nbr_country,lat_min,lon_min,lat_max,lon_max,lat_mean,lon_mean,lat_median,lon_median,host_order,host_fam,host_spp
Aphelinidae,Aphelinus,huberi,1,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,0,0,0
Aphelinidae,Aphelinus,humilis,16,-34.9964962,-71.3187696,59.6749712,87.6855882,33.79676305,19.7391069489,43.660006,17.4639095,1,1,6
Aphelinidae,Aphelinus,hyalopteraphidis,1,29.0000001,119.9999999,29.0000001,119.9999999,29.0000001,119.9999999,29.0000001,119.9999999,1,1,1
Aphelinidae,Aphelinus,japonicus,2,14.8971921,100.83273,36.5748441,139.2394179,25.7360181,120.03607395,25.7360181,120.03607395,0,0,0
Aphelinidae,Aphelinus,jucundus,7,21.2160437,-157.9752029,54.0,-71.9999999,41.5797547571,-102.734785957,43.9792797,-89.6884636,1,1,9
Aphelinidae,Aphelinus,kurdjumovi,2,41.6809707,31.2718321,49.4871968,44.0287382,45.58408375,37.65028515,45.58408375,37.65028515,1,1,2
Aphelinidae,Aphelinus,lankaensis,2,7.878,75.7223521,14.5203896,80.7038245875,11.1991948,78.2130883438,11.1991948,78.2130883438,0,0,0
Aphelinidae,Aphelinus,lapisligni,2,43.6447642,-120.7372569,43.9792797,-114.015407,43.81202195,-117.37633195,43.81202195,-117.37633195,1,1,4
Aphelinidae,Aphelinus,literatus,1,-24.7761085,134.755,-24.7761085,134.755,-24.7761085,134.755,-24.7761085,134.755,1,1,1
Aphelinidae,Aphelinus,longipennis,1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0
Aphelinidae,Aphelinus,lucidus,2,45.0819456,31.2718321,49.4871968,134.726645,47.2845712,82.99923855,47.2845712,82.99923855,1,1,2
Aphelinidae,Aphelinus,lusitanicus,1,40.033265,-7.8896262,40.033265,-7.8896262,40.033265,-7.8896262,40.033265,-7.8896262,0,0,0
Aphelinidae,Aphelinus,maculatus,3,30.0417376,79.089691,45.0819456,139.2394179,37.2328424333,117.6852513,36.5748441,134.726645,1,1,2
Aphelinidae,Aphelinus,maidis,3,17.1750495,-157.9752029,23.9739374,120.9820179,20.7883435333,19.6689267333,21.2160437,95.9999652,1,1,3
Aphelinidae,Aphelinus,mali,100,-42.0350669,-124.9999999,64.6863136,172.8344077,27.209999027,-9.99204068855,36.6381536,-3.93842221831,2,5,35
Aphelinidae,Aphelinus,mariscusae,3,-21.1309331,38.4313975,1.4419683,55.5265771,-12.8713083667,46.7998722667,-18.9249603,46.4416422,1,1,1
Aphelinidae,Aphelinus,marlatti,4,-18.5264843,-98.5821871,54.0,-44.1588653,30.936658975,-75.185263075,44.1365601,-78.99999995,1,1,2
Aphelinidae,Aphelinus,megadontus,1,27.601029,88.4541363868,27.601029,88.4541363868,27.601029,88.4541363868,27.601029,88.4541363868,1,1,1
Aphelinidae,Aphelinus,meghalayanus,1,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,25.5379432,91.2999102,0,0,0
Aphelinidae,Aphelinus,meridionalis,3,33.0955793,7.4197576,43.7311424,44.1749775,39.8217159333,21.4230107,42.6384261,12.674297,1,1,4
Aphelinidae,Aphelinus,minutus,1,-6.5247122,35.7878438,-6.5247122,35.7878438,-6.5247122,35.7878438,-6.5247122,35.7878438,0,0,0
Aphelinidae,Aphelinus,nepalensis,1,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,28.1082107,84.0917515,0,0,0
Aphelinidae,Aphelinus,niger,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphelinus,notatus,1,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,51.0834196,10.4234469,0,0,0
Aphelinidae,Aphelinus,nox,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphelinus,odin,1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0
Aphelinidae,Aphelinus,paluscolus,1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0
Aphelinidae,Aphelinus,paoliellae,1,-11.8775767,17.5691241,-11.8775767,17.5691241,-11.8775767,17.5691241,-11.8775767,17.5691241,1,1,1
Aphelinidae,Aphelinus,paramali,4,-11.8775767,17.5691241,32.9407496,52.9471344,19.54831235,33.69633125,28.56503825,32.13453325,1,1,3
Aphelinidae,Aphelinus,pax,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphelinus,perpallidus,11,-28.8166235,-120.7372569,50.0000002,44.0287382,31.8095524,-59.6887113091,36.7014631,-86.0,1,1,7
Aphelinidae,Aphelinus,polaszeki,1,31.9292352,77.1828462,31.9292352,77.1828462,31.9292352,77.1828462,31.9292352,77.1828462,1,1,1
Aphelinidae,Aphelinus,prociphili,1,41.9216734,-93.3122704,41.9216734,-93.3122704,41.9216734,-93.3122704,41.9216734,-93.3122704,1,1,1
Aphelinidae,Aphelinus,quercus,1,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,64.574131,11.5270102892,0,0,0
Aphelinidae,Aphelinus,rhamni,1,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,1,1,4
Aphelinidae,Aphelinus,rhopalosiphiphagus,1,25.0,102.0,25.0,102.0,25.0,102.0,25.0,102.0,1,1,1
Aphelinidae,Aphelinus,sanborniae,4,40.2253569,-100.5407369,50.0000002,-77.727883,44.703873025,-86.739189825,44.2950675,-84.3440697,1,1,3
Aphelinidae,Aphelinus,semiflavus,24,-34.9964962,-157.9752029,55.0000001,78.6677428,33.685006275,-55.769855875,39.4812811,-78.33736025,2,2,41
Aphelinidae,Aphelinus,sharpae,2,25.5379432,91.2999102,26.4073841,93.2551303,25.97266365,92.27752025,25.97266365,92.27752025,0,0,0
Aphelinidae,Aphelinus,siphonophorae,12,-20.4859417,-157.9752029,55.0,-54.6183864,31.4400002333,-93.7486663167,37.798209,-79.25031445,2,2,8
Aphelinidae,Aphelinus,spiraecolae,2,23.1357694,-81.4639834,27.7567667,113.1982688,25.44626805,15.8671427,25.44626805,15.8671427,1,1,3
Aphelinidae,Aphelinus,subauriceps,1,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,-31.8759834,147.2869493,0,0,0
Aphelinidae,Aphelinus,subflavescens,18,-41.500083,-120.7372569,52.7954791,172.8344077,27.6112817028,2.61811285336,42.8301252,16.2434249,1,1,16
Aphelinidae,Aphelinus,takecallis,1,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,39.9059631,116.391248,1,1,1
Aphelinidae,Aphelinus,taurus,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphelinus,tetrataenion,9,47.1817585,-3.2765752,59.9393657,40.6561633,52.3485535778,25.2493631889,50.7080119,30.3153628,0,0,0
Aphelinidae,Aphelinus,thomsoni,8,47.286747,-4.1140517,59.6749712,38.0353929,52.5115842,17.8265792579,51.3060897,17.4639095,1,1,3
Aphelinidae,Aphelinus,tiliaphidis,1,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,48.0000047,127.999992,1,1,1
Aphelinidae,Aphelinus,uncinctiventris,1,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,-21.9182855,144.4588889,0,0,0
Aphelinidae,Aphelinus,varipes,42,-35.4021015,-118.7559973,59.6749712,148.9464218,33.3591093202,-9.99895280922,38.4991488,3.71147044081,2,3,21
Aphelinidae,Aphelinus,wenshanus,1,25.0,102.0,25.0,102.0,25.0,102.0,25.0,102.0,1,1,1
Aphelinidae,Aphelinus,yasnoshae,1,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,41.6809707,44.0287382,0,0,0
Aphelinidae,Aphytis,aberrans,1,1.5333554,32.2166578,1.5333554,32.2166578,1.5333554,32.2166578,1.5333554,32.2166578,1,1,1
Aphelinidae,Aphytis,abnormis,7,38.8949549,-77.0366455,47.1817585,34.9249653,40.8970173143,-9.9878126,40.0028028,9.0982074,1,2,10
Aphelinidae,Aphytis,acalcaratus,1,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,23.1357694,113.1982688,1,1,1
Aphelinidae,Aphytis,acrenulatus,2,-20.275945,12.674297,42.6384261,57.5703566,11.18124055,35.1223268,11.18124055,35.1223268,1,1,2
